ambulance_id,facility_id,driver_name,status,district
AMB0205,FAC0130,Vikram Jadhav,Available,Kolhapur
AMB0206,FAC0225,Rohit Joshi,Available,Dhule
AMB0207,FAC0177,Rahul Singh,Available,Amravati
AMB0208,FAC0107,Swapnil Sharma,Busy,Latur
AMB0209,FAC0062,Yogesh Joshi,Busy,Kolhapur
AMB0210,FAC0045,Sachin Patil,Available,Aurangabad
AMB0211,FAC0048,Omkar Bhosale,Available,Nagpur
AMB0212,FAC0012,Pawan Surve,Busy,Aurangabad
AMB0213,FAC0253,Anil Yadav,Maintenance,Kolhapur
AMB0214,FAC0141,Vishal Mane,Available,Latur
AMB0215,FAC0220,Akash Sharma,Maintenance,Kolhapur
AMB0216,FAC0109,Sanjay Tiwari,Busy,Solapur
AMB0217,FAC0243,Santosh Kumar,Busy,Raigad
AMB0218,FAC0196,Rohit Shah,Busy,Sangli
AMB0219,FAC0299,Anil Waghmare,Available,Latur
AMB0220,FAC0239,Omkar Sharma,Available,Sangli
AMB0221,FAC0291,Dinesh Kulkarni,Busy,Latur
AMB0222,FAC0092,Swapnil Pawar,Busy,Jalgaon
AMB0223,FAC0193,Amit Mane,Available,Satara
AMB0224,FAC0211,Tushar Desai,Available,Satara
AMB0225,FAC0077,Deepak Chavan,Busy,Nashik
AMB0226,FAC0064,Sanjay Deshpande,Available,Mumbai
AMB0227,FAC0153,Varun Jadhav,Available,Nashik
AMB0228,FAC0161,Rohit Chavan,Available,Sangli
AMB0229,FAC0114,Yogesh Lokhande,Available,Amravati
AMB0230,FAC0148,Swapnil Pawar,Available,Ahmednagar
AMB0231,FAC0107,Santosh Mane,Busy,Latur
AMB0232,FAC0100,Vijay Gupta,Available,Nashik
AMB0233,FAC0162,Pawan Sharma,Maintenance,Mumbai
AMB0234,FAC0144,Rajesh Lokhande,Busy,Solapur
AMB0235,FAC0061,Rajesh Desai,Busy,Nashik
AMB0236,FAC0299,Prakash Shinde,Maintenance,Latur
AMB0237,FAC0196,Pawan Gaikwad,Busy,Sangli
AMB0238,FAC0056,Rohit Waghmare,Busy,Latur
AMB0239,FAC0297,Nilesh Raut,Available,Pune
AMB0240,FAC0117,Ajay Gupta,Busy,Aurangabad
AMB0241,FAC0066,Sanjay Patil,Available,Satara
AMB0242,FAC0108,Ajay Chavan,Available,Aurangabad
AMB0243,FAC0266,Sachin Yadav,Busy,Jalgaon
AMB0244,FAC0054,Nitin Shah,Available,Jalgaon
AMB0245,FAC0075,Prakash Patil,Busy,Aurangabad
AMB0246,FAC0079,Nilesh Patil,Available,Nagpur
AMB0247,FAC0013,Abhijit Bhosale,Available,Pune
AMB0248,FAC0280,Dinesh Lokhande,Maintenance,Mumbai
AMB0249,FAC0220,Sachin Bhosale,Available,Kolhapur
AMB0250,FAC0256,Kiran Kulkarni,Available,Solapur
AMB0251,FAC0083,Vikram Sawant,Available,Raigad
AMB0252,FAC0260,Varun Lokhande,Maintenance,Raigad
AMB0253,FAC0104,Santosh Joshi,Available,Latur
AMB0254,FAC0106,Nilesh Pawar,Available,Nashik
AMB0255,FAC0285,Abhijit Joshi,Maintenance,Pune
AMB0256,FAC0076,Sanjay Pawar,Busy,Aurangabad
AMB0257,FAC0023,Akash Waghmare,Available,Mumbai
AMB0258,FAC0298,Rohit More,Available,Sangli
AMB0259,FAC0256,Amit Yadav,Busy,Solapur
AMB0260,FAC0186,Suresh Joshi,Busy,Nagpur
AMB0261,FAC0203,Manoj Shinde,Available,Nagpur
AMB0262,FAC0260,Nitin Yadav,Busy,Raigad
AMB0263,FAC0212,Omkar Pawar,Available,Jalgaon
AMB0264,FAC0271,Dinesh Gupta,Available,Jalgaon
AMB0265,FAC0035,Yogesh Lokhande,Available,Raigad
AMB0266,FAC0294,Ganesh Patil,Available,Jalgaon
AMB0267,FAC0205,Swapnil Tiwari,Available,Sangli
AMB0268,FAC0269,Vijay Raut,Maintenance,Sangli
AMB0269,FAC0250,Akash Desai,Available,Nashik
AMB0270,FAC0084,Rajesh More,Available,Mumbai
AMB0271,FAC0137,Ganesh Sawant,Available,Sangli
AMB0272,FAC0012,Santosh Nair,Busy,Aurangabad
AMB0273,FAC0231,Varun Kulkarni,Available,Aurangabad
AMB0274,FAC0147,Suresh Gupta,Busy,Jalgaon
AMB0275,FAC0234,Varun Waghmare,Available,Nagpur
AMB0276,FAC0064,Amit Nair,Available,Mumbai
AMB0277,FAC0109,Anil Nair,Busy,Solapur
AMB0278,FAC0280,Dinesh Kamble,Available,Mumbai
AMB0279,FAC0133,Anil Surve,Available,Kolhapur
AMB0280,FAC0234,Rohit Shah,Available,Nagpur
AMB0281,FAC0140,Yogesh Nair,Available,Amravati
AMB0282,FAC0131,Santosh Raut,Busy,Latur
AMB0283,FAC0277,Ganesh Surve,Busy,Ahmednagar
AMB0284,FAC0070,Ganesh Desai,Available,Solapur
AMB0285,FAC0111,Vijay Gupta,Maintenance,Jalgaon
AMB0286,FAC0016,Santosh Kumar,Available,Ahmednagar
AMB0287,FAC0213,Deepak Desai,Available,Sangli
AMB0288,FAC0296,Nilesh Yadav,Busy,Solapur
AMB0289,FAC0114,Kiran Patil,Available,Amravati
AMB0290,FAC0285,Rahul Chavan,Busy,Pune
AMB0291,FAC0228,Sachin More,Maintenance,Satara
AMB0292,FAC0172,Pawan Surve,Busy,Amravati
AMB0293,FAC0225,Suresh Kulkarni,Available,Dhule
AMB0294,FAC0270,Sachin Deshpande,Available,Nashik
AMB0295,FAC0042,Prakash Tiwari,Maintenance,Kolhapur
AMB0296,FAC0250,Rohit Yadav,Available,Nashik
AMB0297,FAC0226,Sanjay Kumar,Available,Aurangabad
AMB0298,FAC0086,Suresh Chavan,Available,Pune
AMB0299,FAC0174,Ganesh Kulkarni,Available,Raigad
AMB0300,FAC0142,Vishal Salve,Available,Nagpur
